id,english_word,polish_translation
364,was,był
365,one,jeden
366,they,oni
367,called,zwane
368,the, do
369,guinea,Gwinea
370,rose,jasnoróżowy
371,and,oraz
372,they,oni
373,cast,obsada
374,lots,Dużo
375,and,oraz
376,fought,Walka
377,to,do
378,lie,kłamstwo
379,with,z
380,her,jej
381,that,które
382,when,kiedy
383,the, do
384,bosn,bosn
385,piped,Rura
386,all,każdy
387,hands,ręce
388,the, do
389,flames,Płomienie
390,spreading,koronawirusa
391,from,od
392,starboard,PRAWA
393,already,już
394,were,w miarę
395,beyond,poza
396,control,kontrolować
397,the, do
398,negroes,murzyni
399,howling,Wycie
400,and,oraz
401,their,ich
402,chains,łańcuszki
403,entangled,Zaplątany
404,with,z
405,the, do
406,flames,Płomienie
407,that,które
408,the, do
409,burning,spalanie
410,blacks,czernie
411,could,mógłby
412,not,nie
413,be,be
414,reached,osiągnięty
415,that,które
416,the, do
417,crew,crew
418,abandoned,porzucona
419,ship,statek
420,leaving,wychodzisz
421,their,ich
422,shrieking,(wrzeszczy)
423,negresses,negresy
424,behind,za
425,that,które
426,the, do
427,captain,Kmdr
428,perished,zginął / zmarł
429,drunken,Nietrzeźwość
430,with,z
431,the, do
432,wenches,dziewczęta
433,further,ponadto
434,deponent,OSOBA SKŁADAJĄCA OŚWIADCZENIE
435,sayeth,sayeth
436,not,nie
437,pilot,pilotażowy
438,oh,%
439,pilot,pilotażowy
440,me,ja
441,ii,ii
442,aye,Aha.
443,lad,LAD; gałąź międzykomorowa przednia lewej tętnicy wieńcowej
444,and,oraz
445,i,i
446,have,mieć
447,seen,widziany
448,those,tych
449,factories,FABRYKI 
450,gambia,Gambia
451,rio,Rio
452,pongo,Orangutan
453,calabar,kalabar
454,have,mieć
455,watched,obserwowanedefault filter name
456,the, do
457,artful,umiejętny
458,mongos,mongos
459,baiting,przynęta
460,traps,Pułapki
461,of,z
462,war,wojna
463,wherein,przy czym
464,the, do
465,victor,Victor
466,and,oraz
467,the, do
468,vanquished,pokonany
469,were,w miarę
470,caught,Połów
471,as,jak
472,prizes,Nagrody
473,for,za
474,our,nasi
475,barracoons,barakony
476,have,mieć
477,seen,widziany
478,the, do
479,nigger,cyka
480,kings,Króle
481,whose,czyj
482,vanity,Pycha
483,and,oraz
484,greed,chciwość
485,turned,"obrócone,"
486,wild,Dziki
487,black,czarny
488,hides,ukrywa
489,of,z
490,fellatah,fellatah
491,mandingo,mandingo
492,ibo,IBO
493,kru,kru
494,to,do
495,gold,złoto
496,for,za
497,us,wybierz stronę o nas
498,and,oraz
499,there,tutaj
500,was,był
501,oneking,oneking
502,anthracite,antracyt
503,we,.
504,named,nazwa
505,him,jego
506,fetish,Fetyszyzm
507,face,twarzą w twarz
508,beneath,poniżej
509,french,french
510,parasols,Parasole
511,of,z
512,brass,mosiądz
513,and,oraz
514,orange,pomarańczowy
515,velvet,Aksamit
516,impudent,bezczelny
517,mouth,mouth
518,whose,czyj
519,cups,szklanek
520,were,w miarę
521,carven,carven
522,skulls,Czaszki
523,of,z
524,enemies,Wrogowie
525,hed,HED
526,honor,szacunek
527,us,wybierz stronę o nas
528,with,z
529,drum,beczka
530,and,oraz
531,feast,uczta
532,and,oraz
533,conjo,conjo
534,and,oraz
535,palmoilglistening,błyszczenie dłoni
536,wenches,dziewczęta
537,deft,USS Deft
538,in,cale
539,love,uwielbiam
540,and,oraz
541,for,za
542,tin,cyna
543,crowns,Korona
544,that,które
545,shone,Shone
546,with,z
547,paste,paste
548,red,czerwony
549,calico,kaliko
550,and,oraz
551,germansilver,germansilver
552,trinkets,świecidełka
553,would,by.
554,have,mieć
555,the, do
556,drums,Bębny
557,talk,gadać
558,war,wojna
559,and,oraz
560,send,wyślij
561,his,jego
562,warriors,WOJE
563,to,do
564,burn,spalanie
565,the, do
566,sleeping,uśpionyprocess status
567,villages,"które żyją w powietrzu, w lesie i we wioskach."
568,and,oraz
569,kill,zakończ
570,the, do
571,sick,chorych
572,and,oraz
573,old,stare
574,and,oraz
575,lead,ołów
576,the, do
577,young,młody
578,in,cale
579,coffles,coffles
580,to,do
581,our,nasi
582,factories,FABRYKI 
583,twenty,dwadzieścia
584,years,lat
585,a,a
586,trader,trader
587,twenty,dwadzieścia
588,years,lat
589,for,za
590,there,tutaj
591,was,był
592,wealth,zasobność
593,aplenty,mnogość
594,to,do
595,be,be
596,harvested,Zebrano
597,from,od
598,those,tych
599,black,czarny
600,fields,Pola ND1
601,and,oraz
602,id,id
603,be,be
604,trading,trading
605,still,GORZELNIA
606,but,lecz
607,for,za
608,the, do
609,fevers,Gorączka
610,melting,topnienie
611,down,użytkownika
612,my,mój
613,bones,kości
614,iii,iii
615,shuttles,wahadłowe pojazdy transportowe
616,in,cale
617,the, do
618,rocking,Fotel
619,loom,wiązka
620,of,z
621,history,historia
622,the, do
623,dark,ciemny
624,ships,Statki
625,move,przenieś
626,the, do
627,dark,ciemny
628,ships,Statki
629,move,przenieś
630,their,ich
631,bright,jasno
632,ironical,Ironia
633,names,cookie
634,like,lubię
635,jests,jests
636,of,z
637,kindness,życzliwość
638,on,w dniu
639,a,a
640,murderers,mordercy
641,mouth,mouth
642,plough,orać
643,through,przez
644,thrashing,Rozgramianie
645,glister,glister
646,toward,długoterminowe wobec
647,fata,Fata
648,morganas,morgany
649,lucent,lucent .
650,melting,topnienie
651,shore,Brzeg
652,weave,splot:
653,toward,długoterminowe wobec
654,new,nowe
655,world,świat
656,littorals,akweny przybrzeżne
657,that,które
658,are,są
659,mirage,miraż
660,and,oraz
661,myth,Mitologia
662,and,oraz
663,actual,aktualne
664,shore,Brzeg
665,voyage,Voyage
666,through,przez
667,death,Śmierć
668,voyage,Voyage
669,whose,czyj
670,chartings,wykresy
671,are,są
672,unlove,unlove
673,a,a
674,charnel,charnel
675,stench,Zapach
676,effluvium,.
677,of,z
678,living,zamieszka³y
679,death,Śmierć
680,spreads,Układy
681,outward,na zewnątrz
682,from,od
683,the, do
684,hold,ładownia
685,where,gdzie:
686,the, do
687,living,zamieszka³y
688,and,oraz
689,the, do
690,dead,nie żyje
691,the, do
692,horribly,- Potwornie. 
693,dying,"konaniu,"
694,lie,kłamstwo
695,interlocked,ZABLOKOWANY
696,lie,kłamstwo
697,foul,faul
698,with,z
699,blood,krew
700,and,oraz
701,excrement,Kał
702,deep,głębokie
703,in,cale
704,the, do
705,festering,Gnijąca
706,hold,ładownia
707,thy,Twój
708,father,ojciec
709,lies,amstwa. 
710,the, do
711,corpse,Trup
712,of,z
713,mercy,miłosierdzie
714,rots,Zgnilizna (choroby roślin)
715,with,z
716,him,jego
717,rats,szczury
718,eat,jeść
719,loves,Miłość
720,rotten,spróchniały
721,gelid,gelid
722,eyes,z okiem
723,but,lecz
724,oh,%
725,the, do
726,living,zamieszka³y
727,look,patrz
728,at,gdzie
729,you,Pan
730,with,z
731,human,Człowiek rozumny
732,eyes,z okiem
733,whose,czyj
734,suffering,Cierpienie
735,accuses,oskarża
736,you,Pan
737,whose,czyj
738,hatred,nienawiść
739,reaches,osiągnie
740,through,przez
741,the, do
742,swill,pomyj
743,of,z
744,dark,ciemny
745,to,do
746,strike,Strajk
747,you,Pan
748,like,lubię
749,a,a
750,lepers,trędowaci
751,claw,Pazur
752,you,Pan
753,cannot,nie mogą
754,stare,Stare
755,that,które
756,hatred,nienawiść
757,down,użytkownika
758,or,lub
759,chain,łańcuch
760,the, do
761,fear,strach
762,that,które
763,stalks,Nękanie
764,the, do
765,watches,Zegarki
766,and,oraz
767,breathes,piersiowa.
768,on,w dniu
769,you,Pan
770,its,its
771,fetid,Zapach
772,scorching,Spalenia
773,breath,dech
774,cannot,nie mogą
775,kill,zakończ
776,the, do
777,deep,głębokie
778,immortal,NIEŚMIERTELNY
779,human,Człowiek rozumny
780,wish,pragnienie
781,the, do
782,timeless,TIMELESS
783,will,będzie
784,but,lecz
785,for,za
786,the, do
787,storm,burza
788,that,które
789,flung,rzucane
790,up,zaokrąglić kwotę w górę
791,barriers,Bariery
792,of,z
793,wind,energia wiatrowa
794,and,oraz
795,wave,  fala
796,the, do
797,amistad,amistad
798,seores,seores
799,would,by.
800,have,mieć
801,reached,osiągnięty
802,the, do
803,port,port
804,of,z
805,prncipe,prncipe
806,in,cale
807,two,dwie
808,three,trzy
809,days,dni
810,at,gdzie
811,most,większość
812,but,lecz
813,for,za
814,the, do
815,storm,burza
816,we,.
817,should,powinien
818,have,mieć
819,been,śpieszyli
820,prepared,sporządzono
821,for,za
822,what,co
823,befell,spadł
824,swift,jerzyk
825,as,jak
826,the, do
827,pumas,Puma
828,leap,skakać
829,it,IT
830,came,przyszedł
831,there,tutaj
832,was,był
833,that,które
834,interval,interwał
835,of,z
836,moonless,Księżyc
837,calm,spokojny
838,filled,Z nadzieniem
839,only,tylko
840,with,z
841,the, do
842,waters,wód
843,and,oraz
844,the, do
845,riggings,olinowanie
846,usual,prosty
847,sounds,dźwięki
848,then,następnie
849,sudden,nagły
850,movement,ruchu
851,blows,obciąga
852,and,oraz
853,snarling,warczenie
854,cries,Płacz
855,and,oraz
856,they,oni
857,had,udać się do toalety.
858,fallen,Fallen
859,on,w dniu
860,us,wybierz stronę o nas
861,with,z
862,machete,Maczeta
863,and,oraz
864,marlinspike,marlinspike
865,it,IT
866,was,był
867,as,jak
868,though,wręcz przeciwnie. 
869,the, do
870,very,London
871,air,powietrze
872,the, do
873,night,noc
874,itself,sama
875,were,w miarę
876,striking,uderzenie
877,us,wybierz stronę o nas
878,exhausted,Zmęczenie
879,by,do
880,the, do
881,rigors,Dreszcze
882,of,z
883,the, do
884,storm,burza
885,we,.
886,were,w miarę
887,no,no
888,match,pasuje
889,for,za
890,them,nimi.
891,our,nasi
892,men,mężczyźni
893,went,szła
894,down,użytkownika
895,before,przed
896,the, do
897,murderous,Morderczy
898,africans,Afrykanie
899,our,nasi
900,loyal,Lojalność
901,celestino,celestino
902,ran,ran
903,from,od
904,below,mniejsza niż
905,with,z
906,gun,pistolet natryskowy
907,and,oraz
908,lantern,Lampion
909,and,oraz
910,i,i
911,saw,piła
912,before,przed
913,the, do
914,cane,Laski
915,knifes,noże
916,wounding,Rana
917,flash,lampa błyskowa
918,cinquez,cinquez
919,that,które
920,surly,opryskliwy
921,brute,zwierzęcy
922,who,do mnie powiedzieć.
923,calls,Wywołania
924,himself,sobie
925,a,a
926,prince,książę
927,directing,Reżyseria
928,urging,naleganie
929,on,w dniu
930,the, do
931,ghastly,upiorny
932,work,pracować
933,he,he
934,hacked,zhakowany
935,the, do
936,poor,słabo
937,mulatto,Mulat
938,down,użytkownika
939,and,oraz
940,then,następnie
941,he,he
942,turned,"obrócone,"
943,on,w dniu
944,me,ja
945,the, do
946,decks,talii.
947,were,w miarę
948,slippery,ślisko.
949,when,kiedy
950,daylight,światło dzienne
951,finally,w końcu
952,came,przyszedł
953,it,IT
954,sickens,sickens
955,me,ja
956,to,do
957,think,pamiętać
958,of,z
959,what,co
960,i,i
961,saw,piła
962,of,z
963,how,jak
964,these,tych
965,apes,Małpy człekokształtne
966,threw,Wrzucil
967,overboard,za burtą
968,the, do
969,butchered,Zamordowany
970,bodies,obcych
971,of,z
972,our,nasi
973,men,mężczyźni
974,true,PRAWDA
975,christians,Będzie także po polsku.
976,all,każdy
977,like,lubię
978,so,so
979,much,duży
980,jetsam,jetsam
981,enough,dostatecznie dużo
982,enough,dostatecznie dużo
983,the, do
984,rest,Pozostałe
985,is,jest
986,quickly,szybko
987,told,powiedział
988,cinquez,cinquez
989,was,był
990,forced,Wymuszony
991,to,do
992,spare,zapasowe
993,the, do
994,two,dwie
995,of,z
996,us,wybierz stronę o nas
997,you,Pan
998,see,xxx
999,to,do
1000,steer,wół
1001,the, do
1002,ship,statek
1003,to,do
1004,africa,Afryka
1005,and,oraz
1006,we,.
1007,like,lubię
1008,phantoms,Fantomy radiograficzne
1009,doomed,Stracona
1010,to,do
1011,rove,rove
1012,the, do
1013,sea,"morza,"
1014,voyaged,wyruszył w podróż
1015,east,wschód
1016,by,do
1017,day,dzień
1018,and,oraz
1019,west,zachód
1020,by,do
1021,night,noc
1022,deceiving,oszukiwanie
1023,them,nimi.
1024,hoping,Po prostu mając nadzieję.
1025,for,za
1026,rescue,akcje ratownicze
1027,prisoners,"pozwolono na udzielanie w pewnym zakresie pomocy medycznej tym, którzy jej potrzebowali."
1028,on,w dniu
1029,our,nasi
1030,own,własnych
1031,vessel,0Kontenerowiec
1032,till,do
1033,at,gdzie
1034,length,długość
1035,we,.
1036,drifted,dryfował
1037,to,do
1038,the, do
1039,shores,Brzegi
1040,of,z
1041,this,ten
1042,your,twoje
1043,land,grunty
1044,america,Południowa
1045,where,gdzie:
1046,we,.
1047,were,w miarę
1048,freed,uwolniony
1049,from,od
1050,our,nasi
1051,unspeakable,niewyobrażalny
1052,misery,mizeria
1053,now,teraz
1054,we,.
1055,demand,zapotrzebowanie
1056,good,Powodzenia!
1057,sirs,"Szanowni Państwo,"
1058,the, do
1059,extradition,ekstradycja
1060,of,z
1061,cinquez,cinquez
1062,and,oraz
1063,his,jego
1064,accomplices,wspólnicy
1065,to,do
1066,la,la
1067,havana,Hawana
1068,and,oraz
1069,it,IT
1070,distresses,stresy
1071,us,wybierz stronę o nas
1072,to,do
1073,know,wiedzieć
1074,there,tutaj
1075,are,są
1076,so,so
1077,many,wiele
1078,here,tutaj
1079,who,do mnie powiedzieć.
1080,seem,na jaki wygląda.
1081,inclined,Skłonny
1082,to,do
1083,justify,justuj
1084,the, do
1085,mutiny,bunt
1086,of,z
1087,these,tych
1088,blacks,czernie
1089,we,.
1090,find,znajdowanie
1091,it,IT
1092,paradoxical,Paradoks
1093,indeed,W istocie
1094,that,które
1095,you,Pan
1096,whose,czyj
1097,wealth,zasobność
1098,whose,czyj
1099,tree,drzewo
1100,of,z
1101,liberty,oswobodzenie
1102,are,są
1103,rooted,Korzeń
1104,in,cale
1105,the, do
1106,labor,ROBOCIZNA
1107,of,z
1108,your,twoje
1109,slaves,Układy podrzędne
1110,should,powinien
1111,suffer,znosić
1112,the, do
1113,august,sierpień
1114,john,John
1115,quincy,Quincy
1116,adams,Richard ADAMS
1117,to,do
1118,speak,zaczną
1119,with,z
1120,so,so
1121,much,duży
1122,passion,pasja
1123,of,z
1124,the, do
1125,right,prawy
1126,of,z
1127,chattel,chattel
1128,slaves,Układy podrzędne
1129,to,do
1130,kill,zakończ
1131,their,ich
1132,lawful,Prawo
1133,masters,Z tytułem magistra
1134,and,oraz
1135,with,z
1136,his,jego
1137,roman,rzymianin
1138,rhetoric,Retoryka
1139,weave,splot:
1140,a,a
1141,heros,Heros
1142,garland,wieniec
1143,for,za
1144,cinquez,cinquez
1145,i,i
1146,tell,kazać
1147,you,Pan
1148,that,które
1149,we,.
1150,are,są
1151,determined,wyznaczone
1152,to,do
1153,return,powrót
1154,to,do
1155,cuba,Kuba
1156,with,z
1157,our,nasi
1158,slaves,Układy podrzędne
1159,and,oraz
1160,there,tutaj
1161,see,xxx
1162,justice,sprawiedliwość
1163,done,wykonane
1164,cinquez,cinquez
1165,or,lub
1166,let,pozwalać
1167,us,wybierz stronę o nas
1168,say,mówię
1169,the, do
1170,princecinquez,princecinquez
1171,shall,powinność bezwzględna
1172,die,ciągadło
1173,the, do
1174,deep,głębokie
1175,immortal,NIEŚMIERTELNY
1176,human,Człowiek rozumny
1177,wish,pragnienie
1178,the, do
1179,timeless,TIMELESS
1180,will,będzie
1181,cinquez,cinquez
1182,its,its
1183,deathless,NIEZDOLNY DO ŚMIERCI
1184,primaveral,primaveral
1185,image,obraz
1186,life,na
1187,that,które
1188,transfigures,przekształcenia
1189,many,wiele
1190,lives,. 
1191,voyage,Voyage
1192,through,przez
1193,death,Śmierć
1194,to,do
1195,life,na
1196,upon,upon
1197,these,tych
1198,shores,Brzegi
